R_fighter,B_fighter,R_odds,B_odds,Winner,title_bout,weight_class,finish,finish_details,finish_round,total_fight_time_secs
Rogerio Bontorin,Ray Borg,130,-150,Blue,FALSE,Flyweight,U-DEC,,3,900
Lando Vannata,Yancy Medeiros,-120,100,Red,FALSE,Lightweight,U-DEC,,3,900
Tim Means,Daniel Rodriguez,-345,285,Blue,FALSE,Welterweight,SUB,Guillotine Choke,2,517
John Dodson,Nathaniel Wood,130,-150,Red,FALSE,Bantamweight,KO/TKO,Punch,3,616
Jim Miller,Scott Holtzman,115,-135,Blue,FALSE,Lightweight,U-DEC,,3,900
Devin Clark,Dequan Townsend,-400,325,Red,FALSE,Light Heavyweight,U-DEC,,3,900
Casey Kenney,Merab Dvalishvili,150,-170,Blue,FALSE,Bantamweight,U-DEC,,3,900
Macy Chiasson,Shanna Young,-800,550,Red,FALSE,Women's Bantamweight,U-DEC,,3,900
Mark De La Rosa,Raulian Paiva,205,-245,Blue,FALSE,Flyweight,KO/TKO,Punch,2,582
Germaine De Randamie,Aspen Ladd,100,-120,Red,FALSE,Women's Bantamweight,,,,
Urijah Faber,Ricky Simon,320,-355,Red,FALSE,Bantamweight,KO/TKO,Punch,1,46
Josh Emmett,Mirsad Bektic,150,-170,Red,FALSE,Featherweight,KO/TKO,Punches,1,265
Karl Roberson,Wellington Turman,-220,180,Red,FALSE,Middleweight,S-DEC,,3,900
Marvin Vettori,Cezar Ferreira,-220,180,Red,FALSE,Middleweight,U-DEC,,3,900
Andre Fili,Sheymon Moraes,-160,140,Red,FALSE,Featherweight,KO/TKO,Punch,1,187
Julianna Pena,Nicco Montano,-250,210,Red,FALSE,Women's Bantamweight,U-DEC,,3,900
Darren Elkins,Ryan Hall,-115,-105,Blue,FALSE,Featherweight,U-DEC,,3,900
